Category,Subcategory,Name,Scientific name,Life list date,Life list location,CA obsv (RG 7.3.24),Bay obsv (RG 7.3.24),Bay peak month,CA peak month,Notes
Flowering Plants,Lilies,Yellow Star-Tulip,Calochortus monophyllus,#N/A,,"1,702",0,,5,Western slope of Sierras
Turles & Tortoises,Tortoises,Mojave Desert Tortoise,Gopherus agassizii,#N/A,,"1,702",0,,4,"Hills near LA, SLO"
Flowering Plants,Monkeyflowers,Blushing Monkeyflower,Erythranthe erubescens,#N/A,,"1,690",0,,,
Newts & Salamanders,Newts,Sierra Newt,Taricha sierrae,#N/A,,"1,658",1,,3,Western slope of Sierras
Flowering Plants,Monkeyflowers,Shy Monkeyflower,Erythranthe nasuta,#N/A,,"1,603",219,4,,
Lizards,Collared Lizards,Long-nosed Leopard Lizard,Gambelia wislizenii,#N/A,,"1,598",0,,5,Mojave/Colorado desert
Flowering Plants,Monkeyflowers,Kellogg's Monkeyflower,Diplacus kelloggii,2026-03-08,US-CA,"1,574",228,,,
Butterflies,Yellows & Sulphurs,Cloudless Sulphur,Phoebis sennae,2023-07-28,US-CA,"1,573",3,,,
Dragonflies,Skimmers,Widow Skimmer,Libellula luctuosa,2024-06-08,US-CA,"1,563",909,,,
Dragonflies,Skimmers,Western Pondhawk,Erythemis collocata,2024-05-30,US-CA,"1,530",577,,,
Lizards,Eyelid Geckos,Western Banded Gecko,Coleonyx variegatus,#N/A,,"1,523",0,,5,
Flowering Plants,Monkeyflowers,Rock Bush Monkeyflower,Diplacus calycinus,#N/A,,"1,489",0,,,
Flowering Plants,Monkeyflowers,Musk Monkeyflower,Erythranthe moschata,2023-08-19,US-CA,"1,486",0,,,
Flowering Plants,Lilies,Scarlet Fritillary,Fritillaria recurva,#N/A,,"1,479",736,3,,
Frogs & Toads,North American Spadefoots,Western Spadefoot,Spea hammondii,#N/A,,"1,478",58,2,,
Butterflies,Blues,Bernardino Blue,Euphilotes bernardino,#N/A,,"1,475",0,,5,Mojave/Colorado desert
Nudibranchs,Dendronotidae,Stubby Dendronotid,Dendronotus subramosus,2024-08-22,US-CA,"1,472","1,145",,,
Dragonflies,Skimmers,Black Saddlebags,Tramea lacerata,2024-06-14,US-CA,"1,464",668,,,
Snakes,Boas,Northern Rubber Boa,Charina bottae,2024-07-07,US-CA,"1,461",636,,,
Flowering Plants,Monkeyflowers,Magnificent Seep Monkeyflower,Erythranthe grandis,2026-03-14,US-CA,"1,458",840,,,
Flowering Plants,Lilies,Largeflower Fairybells,Prosartes smithii,#N/A,,"1,453",462,4,,
Mammals,Moles & Desmans,Broad-footed Mole,Scapanus latimanus,#N/A,,"1,431",909,4,,
Mammals,Mice & Rats,Dusky-footed Woodrat,Neotoma fuscipes,2025-07-21,US-CA,"1,415","1,234",,,
Flowering Plants,Lilies,Desert Mariposa Lily,Calochortus kennedyi,#N/A,,"1,414",0,,5,Mojave/Colorado desert edge
Mammals,Suines,Wild Boar,Sus scrofa,2023-10-21,US-CA,"1,373",917,,,
Lizards,Phrynosomatid Lizards,Yellow-backed Spiny Lizard,Sceloporus uniformis,#N/A,,"1,354",0,,5,Joshua Tree
Nudibranchs,Aeolidiidae,Warty Shag-rug Nudibranch,Aeolidia loui,2024-10-17,US-CA,"1,340",873,,,
Newts & Salamanders,Newts,Red-bellied Newt,Taricha rivularis,#N/A,,"1,339","1,120",3,,
Butterflies,Checkerspots & Anglewings,Satyr Comma,Polygonia satyrus,2024-02-10,US-CA,"1,333",886,,,
Flowering Plants,Monkeyflowers,Purple Mouse Ears,Diplacus douglasii,#N/A,,"1,333",811,3,,Edgewood Park (Santa Cruz Mtns)
Mammals,Gray Whales,Gray Whale,Eschrichtius robustus,2023-04-29,US-CA,"1,308",540,,,
Nudibranchs,Aeolidiidae,Olive's Aeolid,Anteaeolidiella oliviae,2026-02-01,US-CA,"1,253",394,,,
Lizards,Anoles,Green Anole,Anolis carolinensis,#N/A,,"1,251",0,,4,San Diego
Nudibranchs,Discodorididae,Heath's Dorid,Geitodoris heathi,2026-03-16,US-CA,"1,249",842,,,
Flowering Plants,Hellebores & Trilliums,Giant White Wakerobin,Trillium albidum,#N/A,,"1,246",680,3,,
Lizards,Skinks,Gilbert's Skink,Plestiodon gilberti,#N/A,,"1,237",177,3,,Effie Yeaw Nature Center (Sac area)
Flowering Plants,Monkeyflowers,False Monkeyflower,Mimetanthe pilosa,#N/A,,"1,235",57,7,,
Sea Stars,Echinasterid Sea Stars,Dwarf Mottled Henricia,Henricia pumila,2024-08-22,US-CA,"1,231",759,,,
Mammals,"Voles, Lemmings, & Muskrats",California Vole,Microtus californicus,2023-07-29,US-CA,"1,225",808,,,
Butterflies,Checkerspots & Anglewings,Edith's Checkerspot,Euphydryas editha,2023-07-23,US-CA,"1,223",381,,,
Nudibranchs,Onchidorididae,Black and White Dorid,Acanthodoris rhodoceras,#N/A,,"1,214",887,6,,
Flowering Plants,Orchids,Flat Spurred Piperia,Platanthera transversa,#N/A,,"1,210",823,6,,"Lake Lagunitas, Mt Tam, China Camp"
Nudibranchs,Dotidae,Hammerhead Doto,Doto amyra,2024-08-22,US-CA,"1,207","1,034",,,
Flowering Plants,Lilies,Kelley's Lily,Lilium kelleyanum,#N/A,,"1,204",0,,7,Mammoth Lakes
Flowering Plants,Lilies,Shy Mariposa Lily,Calochortus invenustus,#N/A,,"1,201",3,,6,Big Bear Lake
Moths,Smerinthinae,Western Eyed Sphinx,Smerinthus ophthalmica,#N/A,,"1,199",373,8,,
Butterflies,Grass Skippers,Eufala Skipper,Lerodea eufala,2023-11-25,US-CA,"1,197",109,,,
Butterflies,Grass Skippers,Sandhill Skipper,Polites sabuleti,2023-08-13,US-CA,"1,166",582,,,
Dragonflies,Skimmers,Neon Skimmer,Libellula croceipennis,#N/A,,"1,151",1,,8,LA/San Diego
Flowering Plants,Monkeyflowers,Brewer's Monkeyflower,Erythranthe breweri,#N/A,,"1,135",0,,,
Flowering Plants,Lilies,Tiburon Mariposa Lily,Calochortus tiburonensis,2025-05-29,US-CA,"1,124","1,124",,,
Flowering Plants,Hellebores & Trilliums,Common Beargrass,Xerophyllum tenax,#N/A,,"1,121",272,5,,
Dragonflies,Skimmers,Red Rock Skimmer,Paltothemis lineatipes,#N/A,,"1,111",144,6,,Sunol Regional Wilderness
Nudibranchs,Cadlinidae,Modest Cadlina,Cadlina modesta,#N/A,,"1,106",889,6,,
Snakes,Colubrid Snakes,Glossy Snake,Arizona elegans,#N/A,,"1,105",15,,5,Anza Borego/J Tree
Lizards,Typical Geckos,Mediterranean Gecko,Hemidactylus turcicus,#N/A,,"1,102",42,,10,JTree
Flowering Plants,Lilies,Washington Lily,Lilium washingtonianum,#N/A,,"1,101",0,,7,Sierras/Shasta
Flowering Plants,Lilies,Pink Star-Tulip,Calochortus uniflorus,2026-04-10,US-CA,"1,100",701,,,
Frogs & Toads,Typical Frogs,Northern Red-legged Frog,Rana aurora,#N/A,,"1,095",0,,9,Mendocino/Arcata
Damselflies,Broad-winged Damselflies,American Rubyspot,Hetaerina americana,#N/A,,"1,086",418,6,,
Butterflies,Checkerspots & Anglewings,California Patch,Chlosyne californica,#N/A,,"1,066",0,,10,Anza Borego/J Tree
Dragonflies,Skimmers,Eight-spotted Skimmer,Libellula forensis,2024-06-01,US-CA,"1,064",555,,,
Butterflies,Checkerspots & Anglewings,Gabb's Checkerspot,Chlosyne gabbii,#N/A,,"1,063",1,,5,Pinnacles/LA hills
Frogs & Toads,True Toads,Red-spotted Toad,Anaxyrus punctatus,2023-11-25,US-CA,"1,063",0,,,
Damselflies,Narrow-winged Damselflies,Familiar Bluet,Enallagma civile,2024-03-16,US-TX,"1,060",366,,,
Flowering Plants,Lilies,Superb Mariposa Lily,Calochortus superbus,#N/A,,"1,051",81,5,,
