Category,Subcategory,Name,Scientific name,Life list date,CA obsv (RG 5.5.26),Bay obsv (RG 5.5.26),Peak,Other 1,Other 2,Notes,R1,R1 peak,R2,R2 peak,R3,R3 peak,Star,Marine
Flowers,Mariposa Lilies,Plummer's Mariposa Lily,Calochortus plummerae,#N/A,"2,414",0,6,,,Hills near LA,TR,6,,,,,,No
Flowers,Larkspurs,Scarlet Larkspur,Delphinium cardinale,#N/A,2391,0,,,,,,,,,,,,
Flowers,Violets,Goosefoot Violet,Viola purpurea,2026-03-07,"3,780",404,,,,,,,,,,,,No
Flowers,Violets,Western Heart's Ease,Viola ocellata,2026-04-10,"3,759","3,259",,,,,,,,,,,,No
Mammals,Squirrels,Douglas's Squirrel,Tamiasciurus douglasii,2023-08-19,"3,734",59,,,,,,,,,,,,No
Turtles,Tortoises,Mojave Desert Tortoise,Gopherus agassizii,#N/A,"2,302",0,,,,"Hills near LA, SLO",,,,,,,,No
Lizards,Collared Lizards,Long-nosed Leopard Lizard,Gambelia wislizenii,#N/A,"2,122",0,,,,Mojave/Colorado desert,SNE,6,,,,,,No
Butterflies,Blues,Bernardino Blue,Euphilotes bernardino,#N/A,"1,975",0,,,,Mojave/Colorado desert,,,,,,,,No
Mammals,Squirrels,White-tailed Antelope Squirrel,Ammospermophilus leucurus,2025-05-18,"3,666",0,,,,Mojave/Colorado desert,,,,,,,,No
Butterflies,Spread-wing Skippers,Funereal Duskywing,Erynnis funeralis,2023-08-04,"3,652",90,,,,,,,,,,,,No
Lizards,Eyelid Geckos,Western Banded Gecko,Coleonyx variegatus,#N/A,"1,929",0,,,,,,,,,,,,No
Flowers,Monkeyflowers,Blushing Monkeyflower,Erythranthe erubescens,#N/A,"1,690",0,,,,,,,,,,,,No
Mammals,Canids,Island Fox,Urocyon littoralis,2024-06-16,"3,515",0,,,,,,,,,,,,No
Frogs & Toads,Typical Frogs,Northern Red-legged Frog,Rana aurora,#N/A,"1,674",0,,,,Mendocino/Arcata,,,,,,,,No
Flowers,Fairybells & Allies,Hooker's Fairybells,Prosartes hookeri,2026-03-21,"3,394","2,638",,,,,,,,,,,,No
Salamanders,Mole Salamanders,California Giant Salamander,Dicamptodon ensatus,2025-10-12,"3,387","3,294",,,,,,,,,,,,No
Mammals,Oceanic Dolphins,Common Bottlenose Dolphin,Tursiops truncatus,2024-03-18,"3,381",475,,,,,,,,,,,,No
Snakes,Colubrid Snakes,Aquatic Garter Snake,Thamnophis atratus,2024-08-13,"3,327","2,426",,,,,,,,,,,,No
